id,type,inScheme,member,prefLabel,notation,topConceptOf,dc\.identifier,hasTopConcept
https://data.bodemenondergrond.vlaanderen.be/id/collection/secundairestructuurtype/secundairestructuurtype,http://www.w3.org/2004/02/skos/core#Collection,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/0|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/10|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/11|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/12|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/13|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/14|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/15|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/16|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/17|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/18|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/19|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/1|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/20|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/21|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/22|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/23|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/24|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/25|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/26|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/27|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/28|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/29|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/2|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/30|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/31|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/32|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/33|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/34|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/35|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/36|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/37|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/38|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/3|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/40|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/41|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/42|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/43|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/44|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/45|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/46|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/47|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/48|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/49|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/4|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/50|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/51|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/52|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/53|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/54|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/55|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/56|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/57|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/58|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/59|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/5|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/60|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/61|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/62|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/6|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/7|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/8|https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/9,Collectie van secundairestructuurtype.,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/0,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,onbepaald,0,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/1,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,straticulaties,1,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/10,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,slumping,10,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/11,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,compactiebreuken,11,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/12,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,'regendruppels' (cf. Planolites),12,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/13,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,erosievlak,13,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/14,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,niet-gecompacteerde fossielen,14,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/15,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,micarijk vlak,15,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/secundairestructuurtype/16,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,zwart / kolig laagvlak,16,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/secundairestructuurtype,null,null
