id,type,inScheme,member,prefLabel,notation,topConceptOf,dc\.identifier,hasTopConcept
https://data.bodemenondergrond.vlaanderen.be/id/collection/sedimentairestructuurtype/sedimentairestructuurtype,http://www.w3.org/2004/02/skos/core#Collection,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/0|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/10|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/11|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/12|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/13|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/14|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/15|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/16|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/17|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/18|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/19|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/1|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/20|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/21|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/22|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/23|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/24|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/25|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/26|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/27|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/28|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/29|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/2|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/30|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/31|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/32|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/33|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/34|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/35|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/36|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/37|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/38|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/3|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/40|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/41|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/42|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/43|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/44|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/45|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/46|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/47|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/48|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/49|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/4|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/50|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/51|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/52|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/53|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/54|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/55|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/56|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/57|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/58|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/59|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/5|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/60|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/61|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/62|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/6|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/7|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/8|https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/9,Collectie van sedimentairestructuurtype.,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/0,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,onbepaald,0,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/1,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,straticulaties,1,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/10,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,slumping,10,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/11,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,compactiebreuken,11,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/12,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,'regendruppels' (cf. Planolites),12,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/13,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,erosievlak,13,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/14,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,niet-gecompacteerde fossielen,14,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/15,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,micarijk vlak,15,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/16,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,zwart / kolig laagvlak,16,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null,null
