uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:secundairestructuurtypes,skos:Collection,secundairestructuurtypes,,,Collectie van secundairestructuurtypes.,,,,,,,,,,,,,cs,secundairestructuurtype,,,,,,
ct:18,skos:Concept,18,colt:secundairestructuurtypes,,aangespoelde plantenresten / plantenhaksel,,,,,,,,,,,,,cs:secundairestructuurtype,,,,,,,cs:secundairestructuurtype
ct:31,skos:Concept,31,colt:secundairestructuurtypes,,bioklasten,,,,,,,,,,,,,cs:secundairestructuurtype,,,,,,,cs:secundairestructuurtype
ct:19,skos:Concept,19,colt:secundairestructuurtypes,,bioturbatie,,,,,,,,,,,,,cs:secundairestructuurtype,,,,,,,cs:secundairestructuurtype
ct:44,skos:Concept,44,colt:secundairestructuurtypes,,birdseyes,,,,,,,,,,,,,cs:secundairestructuurtype,,,,,,,cs:secundairestructuurtype
ct:25,skos:Concept,25,colt:secundairestructuurtypes,,boundstone textuur,,,,,,,,,,,,,cs:secundairestructuurtype,,,,,,,cs:secundairestructuurtype
ct:49,skos:Concept,49,colt:secundairestructuurtypes,,breccieus,,,,,,,,,,,,,cs:secundairestructuurtype,,,,,,,cs:secundairestructuurtype
ct:38,skos:Concept,38,colt:secundairestructuurtypes,,calcrete / caliche,,,,,,,,,,,,,cs:secundairestructuurtype,,,,,,,cs:secundairestructuurtype
ct:11,skos:Concept,11,colt:secundairestructuurtypes,,compactiebreuken,,,,,,,,,,,,,cs:secundairestructuurtype,,,,,,,cs:secundairestructuurtype
ct:28,skos:Concept,28,colt:secundairestructuurtypes,,concretie,,,,,,,,,,,,,cs:secundairestructuurtype,,,,,,,cs:secundairestructuurtype
ct:41,skos:Concept,41,colt:secundairestructuurtypes,,CU-gegradeerde gelaagdheid,,,,,,,,,,,,,cs:secundairestructuurtype,,,,,,,cs:secundairestructuurtype
