uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
conceptscheme:sedimentairestructuurtype,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.sedimentairestructuurtype,,,Lijst van types secundaire structuren,,,,,,,,,,,,,,,,,,,,
collectie:sedimentairestructuurtype,,,,Collectie van sedimentairestructuurtype.,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,
18,,collectie:sedimentairestructuurtype,18,aangespoelde plantenresten / plantenhaksel,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
31,,collectie:sedimentairestructuurtype,31,bioklasten,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
19,,collectie:sedimentairestructuurtype,19,bioturbatie,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
44,,collectie:sedimentairestructuurtype,44,birdseyes,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
25,,collectie:sedimentairestructuurtype,25,boundstone textuur,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
49,,collectie:sedimentairestructuurtype,49,breccieus,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
38,,collectie:sedimentairestructuurtype,38,calcrete / caliche,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
11,,collectie:sedimentairestructuurtype,11,compactiebreuken,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
28,,collectie:sedimentairestructuurtype,28,concretie,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
41,,collectie:sedimentairestructuurtype,41,CU-gegradeerde gelaagdheid,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
13,,collectie:sedimentairestructuurtype,13,erosievlak,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
37,,collectie:sedimentairestructuurtype,37,evaporiet pseudomorfen,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
46,,collectie:sedimentairestructuurtype,46,fijn gebankt,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
55,,collectie:sedimentairestructuurtype,55,floatstone,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
52,,collectie:sedimentairestructuurtype,52,fossielrijk,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
40,,collectie:sedimentairestructuurtype,40,FU-gegradeerde gelaagdheid,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
3,,collectie:sedimentairestructuurtype,3,geband,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
62,,collectie:sedimentairestructuurtype,62,geopetale structuur,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
48,,collectie:sedimentairestructuurtype,48,golvend laagvlak,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
24,,collectie:sedimentairestructuurtype,24,grainstone textuur,,,,,,,,,,,,,conceptscheme:sedimentairestructuurtype,,,,,,,conceptscheme:sedimentairestructuurtype
