uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:sedimentairestructuurtypes,skos:Collection,sedimentairestructuurtypes,,,Collectie van sedimentairestructuurtypes.,,,,,,,,,,,,,cs,sedimentairestructuurtype,,,,,,
ct:18,skos:Concept,18,colt:sedimentairestructuurtypes,,aangespoelde plantenresten / plantenhaksel,,,,,,,,,,,,,cs:sedimentairestructuurtype,,,,,,,cs:sedimentairestructuurtype
ct:31,skos:Concept,31,colt:sedimentairestructuurtypes,,bioklasten,,,,,,,,,,,,,cs:sedimentairestructuurtype,,,,,,,cs:sedimentairestructuurtype
ct:19,skos:Concept,19,colt:sedimentairestructuurtypes,,bioturbatie,,,,,,,,,,,,,cs:sedimentairestructuurtype,,,,,,,cs:sedimentairestructuurtype
ct:44,skos:Concept,44,colt:sedimentairestructuurtypes,,birdseyes,,,,,,,,,,,,,cs:sedimentairestructuurtype,,,,,,,cs:sedimentairestructuurtype
ct:25,skos:Concept,25,colt:sedimentairestructuurtypes,,boundstone textuur,,,,,,,,,,,,,cs:sedimentairestructuurtype,,,,,,,cs:sedimentairestructuurtype
ct:49,skos:Concept,49,colt:sedimentairestructuurtypes,,breccieus,,,,,,,,,,,,,cs:sedimentairestructuurtype,,,,,,,cs:sedimentairestructuurtype
ct:38,skos:Concept,38,colt:sedimentairestructuurtypes,,calcrete / caliche,,,,,,,,,,,,,cs:sedimentairestructuurtype,,,,,,,cs:sedimentairestructuurtype
ct:11,skos:Concept,11,colt:sedimentairestructuurtypes,,compactiebreuken,,,,,,,,,,,,,cs:sedimentairestructuurtype,,,,,,,cs:sedimentairestructuurtype
ct:28,skos:Concept,28,colt:sedimentairestructuurtypes,,concretie,,,,,,,,,,,,,cs:sedimentairestructuurtype,,,,,,,cs:sedimentairestructuurtype
